id,model_name,dataset,question,answer,ground_truth,prompt,human_verdict
468,alpaca-7b,natural_questions,who are the cast members of ncis new orleans,"The main cast of ""NCIS: New Orleans"" consists of Scott Bakula as Special Agent Dwayne Pride, Lucas Black as Special Agent Christopher LaSalle, Vanessa Ferlito as Special Agent Tammy Gregorio, Rob Kerkovich as Forensic Scientist Sebastian Lund, and Shalita Grant as Special Agent Sonja Percy. They are assisted by Patton Plame (Daryl Mitchell), a computer specialist, and Dr. Loretta Wade (CCH Pounder), a forensic pathologist.","Zoe McLellan, Lucas Black, Daryl ""Chill"" Mitchell, Shalita Grant, Rob Kerkovich, Vanessa Ferlito, Daryl Mitchell, Scott Bakula and CCH Pounder","Please answer the following question given the following passages:
- Title: NCIS: New Orleans
is keen to leave her past behind as she moves to New Orleans; Sonja Percy (Shalita Grant), a former ATF special agent and LaSalle's partner; Tammy Gregorio (Vanessa Ferlito), an FBI prodigy recruited after a short stint investigating Pride; and Sebastian Lund (Rob Kerkovich), a criminalist turned forensics agent and the team's newest member. They are assisted by Patton Plame (Daryl Mitchell), a computer specialist, and Dr. Loretta Wade (CCH Pounder), a forensic pathologist. On January 12, 2015, ""NCIS: New Orleans"" was renewed for a second season that premiered on September 22, 2015. On March 25, 2016, CBS renewed the
Question: who are the cast members of ncis new orleans
Answer: ",incorrect
472,alpaca-7b,natural_questions,what's the population of prince edward island,"142,907","142,907 residents/142,907","Please answer the following question given the following passages:
- Title: Prince Edward Island
Prince Edward Island Prince Edward Island (PEI or P.E.I.; ) is a province of Canada consisting of the island of the same name, and several much smaller islands. Prince Edward Island is one of the three Maritime Provinces and is the smallest province in both land area and population. It is part of the traditional lands of the Mi'kmaq, and became a British colony in the 1700s and was federated into Canada as a province in 1873. Its capital is Charlottetown. According to the 2016 census, the province of Prince Edward Island has 142,907 residents. The backbone of the economy
Question: what's the population of prince edward island
Answer: ",correct
513,alpaca-7b,natural_questions,who won game 4 of the 2000 nba finals,"2000 NBA Finals - Los Angeles Lakers over Indiana Pacers, 4-2.",Los Angeles Lakers,"Please answer the following question given the following passages:
- Title: 1983–84 Los Angeles Lakers season
1982 Western Conference Semifinals (Los Angeles won 4–0) <nowiki>*</nowiki>overtime ""Boston beats Los Angeles 4–3"" Lakers History The 1984 NBA Finals|Celtics.com NBA.com: Larry's Celtics Edge Magic's Lakers in 7 1983–84 Los Angeles Lakers season The 1983–84 season for the Los Angeles Lakers saw them lose in the 1984 NBA Finals against Larry Bird's Boston Celtics in seven well-fought games. The Lakers were coming off of an NBA Finals loss to the Julius Erving and Moses Malone led Philadelphia 76ers, in which they were swept in four games. The Los Angeles Lakers, powered by Kareem Abdul-Jabbar (who broke the NBA's all-time total
Question: who won game 4 of the 2000 nba finals
Answer: ",correct
557,alpaca-7b,natural_questions,who plays izabella in transformers the last knight,Isabela Moner,Isabela Moner,"Please answer the following question given the following passages:
- Title: Transformers: The Last Knight
the state. On April 13, TheWrap reported that Isabela Moner was in talks to star as Izabella. The site also reported that Bay was eyeing Jean Dujardin, Stephen Merchant, and Jerrod Carmichael for supporting roles. On May 17, 2016, it was confirmed that Josh Duhamel would reprise his role in the film, and Jerrod Carmichael was cast. In June 2016, Anthony Hopkins, Mitch Pileggi, Santiago Cabrera, and Laura Haddock joined the cast, and Tyrese Gibson stated that he will return as Robert Epps. In August 2016, Liam Garrigan was confirmed to play King Arthur, a different version from his role
Question: who plays izabella in transformers the last knight
Answer: ",correct
640,alpaca-7b,natural_questions,who won the most medals at the 2014 winter olympics,1. Medals won by athletes from the United States 2. Medals won by athletes from Russia 3. Medals won by athletes from Norway 4. Medals won by athletes from Canada 5. Medals won by athletes from Germany 6. Medals won by athletes from Sweden 7. Medals won by athletes from Austria 8. Medals won by athletes from Switzerland 9. Medals won by athletes from Japan 10. Medals won by athletes from South Korea 11. Medals won by athletes from France 12. Medals won by athletes from Italy 13. Medals won by athletes from China 14. Medals won by athletes from Australia 15. Medals won by athletes from Mexico 16. Medals won by athletes from Brazil 17. Medals won by athletes from Spain 18. Medals won by athletes from Poland 19. Medals won by athletes from Belarus 20. Medals won by athletes from Ukraine 21. Medals won by athletes from New Zealand 22. Medals won by athletes from the Netherlands 23. Medals won by athletes from the United Kingdom 24. Medals won by athletes from Japan 25. Medals won by athletes from the People's Republic of China 26. Medals won by athletes from the Republic of China 27. Medals won by athletes from the Republic of Korea 28. Medals won by athletes from the Republic of Austria 29. Medals won by athletes from the Republic of Switzerland 30. Medals won by athletes from the Republic of Finland 31. Medals won by athletes from the Republic of Denmark 32. Medals won by athletes from the Republic of Mexico 33. Medals won by athletes from the Republic of Colombia 34. Medals won by athletes from the Republic of Chile 35. Medals won by athletes from the Republic of Costa Rica 36. Medals won by athletes from the Republic of Panama 37. Medals won by athletes from the Republic of El Salvador 38. Medals won by athletes from the,russia,"Please answer the following question given the following passages:
- Title: Alpine skiing at the 1994 Winter Olympics
Vreni Schneider of Switzerland won the most medals with three, one of each type. Tommy Moe of the United States won gold in the downhill and silver in the super G. Kjetil André Aamodt of Norway won two silvers and a bronze. Svetlana Gladishiva's silver medal was the first in alpine skiing won by Russia (Yevgeniya Sidorova won a bronze medal for the Soviet Union in 1956). Slovenia's three medals were the first for the country at the Winter Olympics. Forty-five nations sent alpine skiers to compete in the events in Lillehammer. Bosnia & Herzegovina, Georgia, Kazakhstan, Russia, Slovakia, and
Question: who won the most medals at the 2014 winter olympics
Answer: ",incorrect
701,alpaca-7b,natural_questions,where is the tv show the curse of oak island filmed,"1. The Curse of Oak Island is filmed in various locations in Nova Scotia, Canada. 2. The show follows brothers Marty and Rick Lagina, originally from Kingsford, Michigan, through their efforts to search for historical artifacts and treasure on Oak Island. 3. The show has been renewed for a fifth season, which began airing on November 7, 2017. 4. Season 6 began airing November 13, 2018. 5. The show has been approved for a seventh season, which is expected to begin airing in 2020. 6. The show has been filmed in various locations in Nova Scotia, Canada, including Oak Island, Brier Island, Chester, Lunenburg, Mahone Bay, and Digby. 7. The show has been a hit with viewers, and has been praised for its unique storyline and interesting characters. 8. The show has also been praised for its educational value, as it has increased public interest in the history of Oak Island and the Nova Scotia area. 9. The show has also been praised for its unique filming style, which includes the use of CGI and animations to illustrate theories and hypotheses. 10. The show has been a hit with viewers, and has been praised for its unique storyline and interesting characters. 11. The show has also been praised for its educational value, as it has increased public interest in the history of Oak Island and the Nova Scotia area. 12. The show has also been praised for its unique filming style, which includes the use of CGI and animations to illustrate theories and hypotheses. 13. The show has been approved for a seventh season, which is expected to begin airing in 2020. 14. The show has been filmed in various locations in Nova Scotia, Canada, including Oak Island, Brier Island, Chester, Lunenburg, Mahone Bay, and Digby. 15. The show has been a hit with viewers, and has been praised for its unique storyline and interesting characters. 16. The show has also been praised for its educational value, as it has increased public interest in the history of Oak Island and the",Oak Island,"Please answer the following question given the following passages:
- Title: The Curse of Oak Island
Inc. approved $1,271,546 in film funding for the production of the 4th season. In October 2017, a fifth season was announced, which began airing on November 7, 2017. Season 6 began airing November 13, 2018. The Curse of Oak Island The Curse of Oak Island is an active reality television series that first premiered in Canada on the History network on January 5, 2014. The show features what is known as the Oak Island mystery, showing efforts to search for historical artifacts and treasure. ""The Curse of Oak Island"" follows brothers Marty and Rick Lagina, originally from Kingsford, Michigan, through
Question: where is the tv show the curse of oak island filmed
Answer: ",correct
725,alpaca-7b,natural_questions,number of films in lord of the rings,3,three,"Please answer the following question given the following passages:
- Title: Music of The Hobbit film series
Music of The Hobbit film series The music of ""The Hobbit"" film series is composed and produced by Howard Shore, who scored all three ""The Lord of the Rings"" films, to which The Hobbit trilogy is a prequel. The score continues the style of The Lord of the Rings score, and utlizies a vast ensemble, multiple musical forms and styles, a large number of leitmotives and various unusual instruments, adding to Shore's overarching music of the Middle-earth films. Shore composed over nine hours of music, featuring 65 new musical themes and reprising 50 themes from the Lord of the Rings.
Question: number of films in lord of the rings
Answer: ",correct
732,alpaca-7b,natural_questions,where did they film season 8 of the walking dead,"80% of season 8 of The Walking Dead was filmed in Georgia, USA. 20% of season 8 was filmed in the United Kingdom.",Georgia,"Please answer the following question given the following passages:
- Title: What Lies Ahead
premiere written and filmed would begin after the events of Season 1, although a brief flashback scene of Shane and Lori witnessing the fall of Atlanta from a distance would appear during the season. At PaleyFest 2011, it was announced that the second season of ""The Walking Dead"" would mainly be produced outside the city limits of Atlanta, Georgia. Most of the principal photography for ""What Lies Ahead"" took place in unincorporated Henry County, Georgia on June 5–9, 2011, using a stretch of Georgia State Route 20 that was closed to traffic for the purpose. On June 8, 2011, the
Question: where did they film season 8 of the walking dead
Answer: ",correct
738,alpaca-7b,natural_questions,the cast of a good day to die hard,1. Bruce Willis as John McClane 2. Jai Courtney as Jack McClane 3. Sebastian Koch as Yuri Komarov 4. Sergei Kolesnikov as Chagarin 5. Yuliya Snigir as Irina 6. Radivoje Bukvić as Alik 7. Cole Hauser as CIA Agent 8. Amaury Nolasco as CIA Agent 9. Megalyn Echikunwoke as CIA Agent 10. Anne Vyalitsyna as CIA Agent,"Mary Elizabeth Winstead, Sebastian Koch, Radivoje Bukvić, Jai Courtney, Bruce Willis, Yuliya Snigir and Sergei Kolesnikov","Please answer the following question given the following passages:
- Title: John McClane
Courtney) is arrested. He doesn't know Jack works for the CIA against high-ranking Russian official Chagarin (Sergei Kolesnikov). Chagarin's ex-partner, Yuri Komarov (Sebastian Koch) was imprisoned for a file incriminating Chagarin. John meets Jack and Komarov fleeing custody and Chagarin's thugs. Chagarin's henchmen attack again as they hide out in a CIA safe house. John holds them off, allowing himself, Jack and Komarov to escape. John and Jack help Komarov meet up with Komarov's daughter, Irina (Yuliya Snigir). She betrays them to Chagarin's main enforcer Alik (Radivoje Bukvić). John and Jack must escape again, but without Komarov. Following Komarov to
Question: the cast of a good day to die hard
Answer: ",correct
779,alpaca-7b,natural_questions,where is the country music hall of fame located,"222 5th Avenue South, Nashville, TN 37203.","Nashville, Tennessee","Please answer the following question given the following passages:
- Title: Country Music Hall of Fame and Museum
Country Music Hall of Fame and Museum The Country Music Hall of Fame and Museum in Nashville, Tennessee, is one of the world's largest museums and research centers dedicated to the preservation and interpretation of American vernacular music. Chartered in 1964, the museum has amassed one of the world's most extensive musical collections. The Country Music Hall of Fame and Museum is one of the world's largest and most active popular music research centers and the world's largest repository of country music artifacts. Early in the 1960s, as the Country Music Association's campaign to publicize country music was accelerating, CMA
Question: where is the country music hall of fame located
Answer: ",correct
885,alpaca-7b,natural_questions,where was the movie silver linings playbook filmed,"1. Silver Linings Playbook was filmed in Upper Darby, Ridley Park, and Lansdowne communities just outside Philadelphia, Pennsylvania. 2. The locations are used to represent the suburban Philadelphia area. 3. The film was shot on a 33-day schedule. 4. A darker, more extreme version of the dance sequence was filmed and scenes with De Niro's character were shot in multiple versions, with the character harsher or warmer, as Russell worked with editor Jay Cassidy to set the balance they wanted. 5. The film was released in 2012 and was nominated for eight Academy Awards.","Ridley Park/Lansdowne/just outside Philadelphia, Pennsylvania/Upper Darby","Please answer the following question given the following passages:
- Title: Silver Linings Playbook
drawn to the story because of the family relationships and the connection he felt to his own son, who has bipolar disorder and OCD. The film was shot on a 33-day schedule. A darker, more extreme version of the dance sequence was filmed and scenes with De Niro's character were shot in multiple versions, with the character harsher or warmer, as Russell worked with editor Jay Cassidy to set the balance they wanted. The locations are Upper Darby, Ridley Park, and Lansdowne communities just outside Philadelphia, Pennsylvania. Although not mentioned by name in the film, Ridley Park is credited at
Question: where was the movie silver linings playbook filmed
Answer: ",correct
931,alpaca-7b,natural_questions,what kind of animals live in the great victoria desert,"The Great Victoria Desert is home to a variety of animals, including the water-holding frog, birds such as the chestnut-breasted whiteface, mammals such as the dingo, monitor lizards, and other reptiles and invertebrates.","malleefowl, water-holding frog, great desert skink, sandhill dunnart, dingo, sand goanna, crest-tailed mulgara, southern marsupial mole, chestnut-breasted whiteface and perentie","Please answer the following question given the following passages:
- Title: Great Victoria Desert
water-holding frog do. Birds include the chestnut-breasted whiteface (""Aphelocephala pectoralis"") found on the eastern edge of the desert and the malleefowl of Mamungari Conservation Park. Predators of the desert include the dingo (as the desert is north of the Dingo Fence) and two large monitor lizards, the perentie ""(Varanus giganteus)"" and the sand goanna ""(Varanus gouldii)"". Great Victoria Desert The Great Victoria Desert, an interim Australian bioregion, is a sparsely populated desert area in Western Australia and South Australia. The Great Victoria is the largest desert in Australia and consists of many small sandhills, grassland plains, areas with a closely
Question: what kind of animals live in the great victoria desert
Answer: ",correct
992,alpaca-7b,natural_questions,how many seasons of from dusk till dawn are there,3 seasons.,third season,"Please answer the following question given the following passages:
- Title: From Dusk Till Dawn 2: Texas Blood Money
by Bruce Campbell and Tiffani Thiessen. It won a Saturn Award from The Academy of Science Fiction Fantasy & Horror Films for the ""Best Home Video Release"" of 1999. A third film in the series, """", which is a prequel to ""From Dusk Till Dawn"" was released in 2000. In late 2010 it was reported that a possible fourth film in the series may be produced. In late 2013 it was reported that a had begun production. The show first premiered in 2014 and finished its third season in 2016. Buck (Robert Patrick) learns from the news that his old
Question: how many seasons of from dusk till dawn are there
Answer: ",correct
1021,alpaca-7b,natural_questions,who is command sergeant major of the army,15th Sergeant Major of the Army Daniel A. Dailey.,Daniel A. Dailey,"Please answer the following question given the following passages:
- Title: Daniel A. Dailey
Daniel A. Dailey Daniel A. Dailey (born January 11, 1969) is the current Sergeant Major of the Army of the United States Army. He was sworn in as the 15th Sergeant Major of the Army on January 30, 2015. He is the youngest soldier to serve in this position at 46 years old. Prior to his tenure as the Sergeant Major of the Army, he served as the Command Sergeant Major for the United States Army Training and Doctrine Command. A native of Palmerton, Pennsylvania, Dailey entered the U.S. Army as an 11B (Infantryman) in 1989. He enlisted at the
Question: who is command sergeant major of the army
Answer: ",correct
1038,alpaca-7b,natural_questions,who sang what are we doing in love,"Dottie West and Kenny Rogers sang ""What Are We Doin' in Love"".",Dottie West/Kenny Rogers,"Please answer the following question given the following passages:
- Title: What Are We Doin' in Love
What Are We Doin' in Love ""What Are We Doin' in Love"" is a song written by Randy Goodrum and recorded by American country music artist Dottie West with the uncredited vocals of Kenny Rogers. It was released in March 1981 as the second single from the album ""Wild West"". ""What Are We Doin' in Love"" was the duo's third and final number one on the country chart. Since 1978, West and Rogers had been together as a duet partnership. Rogers revived the career of Dottie West when their song ""Every Time Fools Collide"" became a hit in 1978. They
Question: who sang what are we doing in love
Answer: ",correct
1044,alpaca-7b,natural_questions,when does the call of the wild take place,"1897, during the Klondike Gold Rush.",1890s/the 1890s,"Please answer the following question given the following passages:
- Title: White Fang
White Fang White Fang is a novel by American author Jack London (1876–1916) — and the name of the book's eponymous character, a wild wolfdog. First serialized in ""Outing"" magazine, it was published in 1906. The story takes place in Yukon Territory and the Northwest Territories, Canada, during the 1890s Klondike Gold Rush and details White Fang's journey to domestication. It is a companion novel (and a thematic mirror) to London's best-known work, ""The Call of the Wild"", which is about a kidnapped, domesticated dog embracing his wild ancestry to survive and thrive in the wild. Much of ""White Fang""
Question: when does the call of the wild take place
Answer: ",correct
1063,alpaca-7b,natural_questions,who did cubs beat in 2016 world series,2016 World Series: Chicago Cubs beat Cleveland Indians in 7 games.,the Indians/Cleveland Indians,"Please answer the following question given the following passages:
- Title: Terry Francona
19, 2016, Terry Francona's Indians beat the Toronto Blue Jays to move on to the World Series, where the Indians won game 1 against the Chicago Cubs 6-0 to extend his World Series record to 9–0. He lost his first World Series game when the Indians were defeated by the Cubs in game 2 by a score of 5–1. The Indians won game 3 against the Chicago Cubs 1–0. The Indians won game 4 against the Chicago Cubs 7–2 to give Cleveland a 3–1 lead. The Indians would fall to the Cubs 3–2 in game 5. Cleveland went on to
Question: who did cubs beat in 2016 world series
Answer: ",correct
1079,alpaca-7b,natural_questions,who sings he thinks he'll keep her,Mary Chapin Carpenter,Mary Chapin Carpenter,"Please answer the following question given the following passages:
- Title: He Thinks He'll Keep Her
He Thinks He'll Keep Her ""He Thinks He'll Keep Her"" is a song co-written and recorded by American country music artist Mary Chapin Carpenter. It was released in December 1993 as the sixth single from the album ""Come On Come On"". The song peaked at No. 2 on the ""Billboard"" Hot Country Songs chart. It was written by Carpenter and Don Schlitz. The song was nominated for the Grammy Award for Record of the Year, and was accompanied by a live performance music video, taken from the 1993 CBS special ""Women of Country"", where Carpenter was accompanied by Emmylou Harris,
Question: who sings he thinks he'll keep her
Answer: ",correct
1095,alpaca-7b,natural_questions,when was the movie cool hand luke made,1967. Cool Hand Luke was released in 1967.,1967,"Please answer the following question given the following passages:
- Title: Cool Hand Luke (soundtrack)
ordinary score."" The ""Cool Hand Luke"" score was nominated for an Academy Award. All songs by Lalo Schifrin unless otherwise noted. Cool Hand Luke (soundtrack) Cool Hand Luke is a soundtrack album for the Warner Bros. film of the same name, released in 1967 on the Dot label. The original music for ""Cool Hand Luke"" was composed by Lalo Schifrin, who reissued it in 2001 along with additional cues and new music on his own Aleph label. In part because its staccato melody resembles the sound of a telegraph, an edited version of the musical cue from ""Tar Sequence"" has
Question: when was the movie cool hand luke made
Answer: ",correct
