id,model_name,dataset,question,answer,ground_truth,prompt,human_verdict
820,alpaca-7b,hotpot_qa,PISCES was developed by the company that is headquartered in what city?,"The company is headquartered in McLean, Virginia, in Greater Washington, D.C.","McLean, Virginia","Please answer the following question given the following passages:
- Title: PISCES
PISCES (""Personal Identification Secure Comparison and Evaluation System"") is a border control database system largely based on biometrics developed by Booz Allen Hamilton Inc..

- Title: Booz Allen Hamilton
Booz Allen Hamilton Inc. ( , informally: Booz Allen) is an American management consulting firm, sometimes referred to as a government-services company, headquartered in McLean, Virginia, in Greater Washington, D.C., with 80 other offices around the globe.
Question: PISCES was developed by the company that is headquartered in what city?
Answer: ",correct
893,alpaca-7b,hotpot_qa,What Italian region does Slinzega come from?,"Slinzega is a type of air-dried meat produced in Valtellina, in the Italian Alps.",Lombardy,"Please answer the following question given the following passages:
- Title: Slinzega
Slinzega is a type of air-dried meat produced in Valtellina, in the Italian Alps. It is made in a similar manner to Bresaola, with smaller pieces of meat, which therefore bear a stronger taste. According to some sources it originally used horse meat rather than beef. Nevertheless, today virtually any type of meat is suitable to its production, the most common being beef, deer and pork.

- Title: Bresaola
Bresaola (] ) is air-dried, salted beef (but also horse, venison and pork) that has been aged two or three months until it becomes hard and turns a dark red, almost purple colour. It is made from top (inside) round, and is lean and tender, with a sweet, musty smell. It originated in Valtellina, a valley in the Alps of northern Italy's Lombardy region.
Question: What Italian region does Slinzega come from?
Answer: ",correct
952,alpaca-7b,hotpot_qa,What organization does Rosyth Dockyard and Queen Elizabeth-class aircraft carrier have in common?,They both are owned by Babcock Marine.,Navy,"Please answer the following question given the following passages:
- Title: Rosyth Dockyard
Rosyth Dockyard is a large naval dockyard on the Firth of Forth at Rosyth, Fife, Scotland, owned by Babcock Marine, which formerly undertook refitting of Royal Navy surface vessels and submarines. Before its privatisation in the 1990s it was formally the Royal Naval Dockyard Rosyth. Its primary role is now as integration site for the Royal Navy's newest aircraft carriers - the ""Queen Elizabeth""-class.

- Title: Queen Elizabeth-class aircraft carrier
The ""Queen Elizabeth"" class is a class of two aircraft carriers of the United Kingdom's Royal Navy. The first,  , was named on 4 July 2014, with her ship commissioning planned for 2017, and an initial operating capability expected in 2018. The second, HMS ""Prince of Wales"" , is scheduled to be launched around Summer 2017, followed by commissioning in 2020 and service thereafter. On 5 September 2014, at the NATO 2014 Wales summit, the Prime Minister David Cameron announced that the second carrier would be brought into service, ending years of uncertainty surrounding its future. This was confirmed by the November 2015 Government Strategic Defence Review, with both carriers entering service, one being available at any time.
Question: What organization does Rosyth Dockyard and Queen Elizabeth-class aircraft carrier have in common?
Answer: ",incorrect
960,alpaca-7b,hotpot_qa,"What type of auto racing, performed on clay or dirt surfaced oval tracks, is run for the Australian Street Stock Championship? ",Dirt track racing.,Dirt track racing,"Please answer the following question given the following passages:
- Title: Australian Street Stock Championship
The Australian Street Stock Championship is a Dirt track racing championship held each year to determine the Australian national champion. The championship is held over a single meeting (usually on consecutive nights) and has run annually since the 1989/90 season and is awarded to a different state of Australia each year by the national controlling body, the Australian Saloon Car Federation (ASCF).

- Title: Dirt track racing
Dirt track racing is a type of auto racing performed on clay or dirt surfaced oval tracks. It began in the United States before World War I and became widespread during the 1920s and 1930s. Two different types of race cars dominated—open wheel racers in the Northeast and West and stock cars in the South. While open wheel race cars are purpose-built racing vehicles, stock cars (also known as fendered cars) can be either purpose-built race cars or street vehicles that have been modified to varying degrees.
Question: What type of auto racing, performed on clay or dirt surfaced oval tracks, is run for the Australian Street Stock Championship? 
Answer: ",correct
993,alpaca-7b,hotpot_qa,What NFL team did the 2017 ESPN College Football Friday Primetime host who played at Oklahoma in college play for?,The 2017 ESPN College Football Friday Primetime host who played at Oklahoma in college played for the Chicago Bears of the National Football League.,the Bears,"Please answer the following question given the following passages:
- Title: ESPN College Football Friday Primetime
ESPN College Football Friday Primetime is a live game presentation of Division 1-A college football on ESPN or sometimes ESPN2. There is no main sponsor. The game telecast airs every Friday night at 7:45pm ET during the college football regular season. In 2017, the games will be announced by Adam Amin and Dusty Dvoracek. The game is preceded by a 5-10 minute long segment of ""College Football Scoreboard"" with Adnan Virk, Danny Kanell and Joey Galloway. They both also present the halftime report.

- Title: Dusty Dvoracek
Dusty Dvoracek (born March 1, 1983) is a former American football nose tackle. Drafted by the Chicago Bears of the National Football League in the third round of the 2006 NFL Draft, he played college football at Oklahoma and professionally with the Bears from 2006 to 2009 and the Omaha Nighthawks of the United Football League in 2010–11.
Question: What NFL team did the 2017 ESPN College Football Friday Primetime host who played at Oklahoma in college play for?
Answer: ",incorrect
1034,alpaca-7b,hotpot_qa,When was the plaintiff in the 1892 Barbed Wire Patent Case born?,1813.,"January 18, 1813","Please answer the following question given the following passages:
- Title: The Barbed Wire Patent
The Barbed Wire Patent Case, 143 U.S. 275 was a significant patent dispute in 1892 between plaintiff Joseph Glidden and the USPTO regarding the right of barbed wire. Lucian Smith was the original inventor in 1867 and held patent rights for it, with Glidden making changes to it in 1874 that he believed were novelty enough to merit a new invention and thus new patent.

- Title: Joseph Glidden
Joseph Glidden (January 18, 1813 – October 9, 1906) was an American businessman. He was the inventor of the barbed wire.
Question: When was the plaintiff in the 1892 Barbed Wire Patent Case born?
Answer: ",correct
1048,alpaca-7b,hotpot_qa,"What is the year of the event which orrurred first, Beecher's Handmade Cheese was founded, or Pike Place Market opened?",2003.,1907,"Please answer the following question given the following passages:
- Title: Beecher's Handmade Cheese
Beecher's Handmade Cheese is an artisan cheesemaker and retail shop with locations in the Pike Place Market, Seattle, Washington and New York City's Flatiron District. The company was founded by Kurt Beecher Dammeier in 2003 and opened in the Pike Place Market after Dammeier obtained a difficult to obtain storefront lease in the Market. Because Dammeier had never been a cheesemaker, he sought out the assistance of Brad Sinko, who helped run a family cheese-making business in Oregon. A second location was opened in 2011 in the Flatiron neighborhood of Manhattan in New York City.

- Title: Beecher's Handmade Cheese
Beecher's Handmade Cheese is an artisan cheesemaker and retail shop with locations in the Pike Place Market, Seattle, Washington and New York City's Flatiron District. The company was founded by Kurt Beecher Dammeier in 2003 and opened in the Pike Place Market after Dammeier obtained a difficult to obtain storefront lease in the Market. Because Dammeier had never been a cheesemaker, he sought out the assistance of Brad Sinko, who helped run a family cheese-making business in Oregon. A second location was opened in 2011 in the Flatiron neighborhood of Manhattan in New York City.

- Title: Pike Place Market
Pike Place Market is a public market overlooking the Elliott Bay waterfront in Seattle, Washington, United States. The Market opened August 17, 1907, and is one of the oldest continuously operated public farmers' markets in the United States. It is a place of business for many small farmers, craftspeople and merchants. Named after the central street, Pike Place runs northwest from Union Street to Virginia Street. With more than 10 million visitors annually, Pike Place Market is Seattle's most popular tourist destination and is the 33rd most visited tourist attraction in the world.

- Title: Pike Place Market
Pike Place Market is a public market overlooking the Elliott Bay waterfront in Seattle, Washington, United States. The Market opened August 17, 1907, and is one of the oldest continuously operated public farmers' markets in the United States. It is a place of business for many small farmers, craftspeople and merchants. Named after the central street, Pike Place runs northwest from Union Street to Virginia Street. With more than 10 million visitors annually, Pike Place Market is Seattle's most popular tourist destination and is the 33rd most visited tourist attraction in the world.
Question: What is the year of the event which orrurred first, Beecher's Handmade Cheese was founded, or Pike Place Market opened?
Answer: ",incorrect
1051,alpaca-7b,hotpot_qa,"Are both ""Cooking Light"" and ""Vibe"" magazines?","Yes, both ""Cooking Light"" and ""Vibe"" magazines are publications.",yes,"Please answer the following question given the following passages:
- Title: Cooking Light
Cooking Light is an American monthly food and lifestyle magazine founded in 1987. Each month, the magazine includes approximately 100 original recipes as well as editorial content covering food trends, fitness tips, and other culinary and health-related news.

- Title: Vibe (magazine)
Vibe is an American music and entertainment magazine founded by producer Quincy Jones. The publication predominantly features R&B and hip hop music artists, actors and other entertainers. After shutting down production in Summer 2009, ""Vibe"" was purchased by the private equity investment fund InterMedia Partners and is now issued semi-monthly with double covers, with a larger online presence. The magazine's target demographic is predominantly young, urban followers of hip hop culture. In 2014, the magazine moved online-only.
Question: Are both ""Cooking Light"" and ""Vibe"" magazines?
Answer: ",correct
1136,alpaca-7b,hotpot_qa, The Human Condition is a film trilogy that follows a Japanese pacifist and socialist as he tries to survive in a political system that strives to regulate what?,Totalitarianism.,every aspect of public and private life,"Please answer the following question given the following passages:
- Title: The Human Condition (film series)
The Human Condition (人間の條件 , Ningen no jōken ) is a Japanese epic film trilogy made between 1959 and 1961, based on the six-volume novel published from 1956 to 1958 by Junpei Gomikawa. It was directed by Masaki Kobayashi and stars Tatsuya Nakadai. The trilogy follows the life of Kaji, a Japanese pacifist and socialist, as he tries to survive in the totalitarian and oppressive world of World War II-era Japan. Altogether, as a single film it is 9 hours, 47 minutes long, not including intermissions, making it one of the longest fiction films ever made.

- Title: The Human Condition (film series)
The Human Condition (人間の條件 , Ningen no jōken ) is a Japanese epic film trilogy made between 1959 and 1961, based on the six-volume novel published from 1956 to 1958 by Junpei Gomikawa. It was directed by Masaki Kobayashi and stars Tatsuya Nakadai. The trilogy follows the life of Kaji, a Japanese pacifist and socialist, as he tries to survive in the totalitarian and oppressive world of World War II-era Japan. Altogether, as a single film it is 9 hours, 47 minutes long, not including intermissions, making it one of the longest fiction films ever made.

- Title: Totalitarianism
Totalitarianism is a political system in which the state recognizes no limits to its authority and strives to regulate every aspect of public and private life wherever feasible. A distinctive feature of totalitarian governments is an ""elaborate ideology, a set of ideas that gives meaning and direction to the whole society"".
Question:  The Human Condition is a film trilogy that follows a Japanese pacifist and socialist as he tries to survive in a political system that strives to regulate what?
Answer: ",correct
1275,alpaca-7b,hotpot_qa,"Which of the singers has more things to be known for, Greg Puciato or Syd Barrett?","Greg Puciato has more things to be known for, as he is known for his reckless live performances, wide vocal range, and outspoken views, having caused controversy due to both performances and interviews.","Gregory John ""Greg"" Puciato","Please answer the following question given the following passages:
- Title: Greg Puciato
Gregory John ""Greg"" Puciato (born March 27, 1980) is the lead singer of the band The Dillinger Escape Plan, The Black Queen, and the metal supergroup Killer Be Killed. He is known for his reckless live performances, wide vocal range, and outspoken views, having caused controversy due to both performances and interviews.

- Title: Greg Puciato
Gregory John ""Greg"" Puciato (born March 27, 1980) is the lead singer of the band The Dillinger Escape Plan, The Black Queen, and the metal supergroup Killer Be Killed. He is known for his reckless live performances, wide vocal range, and outspoken views, having caused controversy due to both performances and interviews.

- Title: Syd Barrett
Roger Keith ""Syd"" Barrett (6 January 1946 – 7 July 2006) was an English musician, composer, singer-songwriter, and painter. Best known as a founder member of the band Pink Floyd, Barrett was the lead singer, guitarist and principal songwriter in its early years and is credited with naming the band. Barrett was excluded from Pink Floyd in April 1968 after David Gilmour took over as their new guitarist, and was briefly hospitalised amid speculation of mental illness.
Question: Which of the singers has more things to be known for, Greg Puciato or Syd Barrett?
Answer: ",correct
1431,alpaca-7b,hotpot_qa,"What English nursery rhyme which dates from 1731 appears on Teletubbies say ""Eh-oh!""?","Baa, Baa, Black Sheep","""Baa, Baa, Black Sheep""","Please answer the following question given the following passages:
- Title: Teletubbies say &quot;Eh-oh!&quot;
Teletubbies say ""Eh-oh!"" is a hit single which was number one in the UK Singles Chart for two weeks in December 1997. It remained in the Top 75 for 29 weeks after its first release and three weeks more after two re-releases and sold well enough to be certified as double-platinum. It is mostly a remix of the theme song from the hit BBC TV show, ""Teletubbies"". It was also a massive hit in the Republic of Ireland, peaking at number two. The Teletubbies have not had another such hit, making them a one-hit wonder. The song also reached #13 in The Netherlands, remaining in the Dutch Singles Chart for 13 weeks. The song contains two nursery rhymes, the Teletubbies hum along to Baa, Baa, Black Sheep and the flowers from Teletubbyland sing Mary, Mary, Quite Contrary.

- Title: Baa, Baa, Black Sheep
""Baa, Baa, Black Sheep"" is an English nursery rhyme, the earliest surviving version of which dates from 1731. The words have not changed very much in two and a half centuries. It is sung to a variant of the 1761 French melody ""Ah! vous dirai-je, maman"". Uncorroborated theories have been advanced to explain the meaning of the rhyme. These include that it is a complaint against Medieval English taxes on wool and that it is about the slave trade. In the twentieth century it was a subject of controversies in debates about political correctness. It has been used in literature and popular culture as a metaphor and allusion. The Roud Folk Song Index classifies the lyrics and their variations as number 4439.
Question: What English nursery rhyme which dates from 1731 appears on Teletubbies say ""Eh-oh!""?
Answer: ",correct
1599,alpaca-7b,hotpot_qa,In the animal kingdom what type of sexuality is described as sexual behavior toward both male and females?,Homosexual behavior in animals.,bisexual,"Please answer the following question given the following passages:
- Title: Homosexual behavior in animals
Homosexual behavior in animals is sexual behavior among non-human species that is interpreted as homosexual or bisexual. This may include sexual activity, courtship, affection, pair bonding, and parenting among same-sex animal pairs. Research indicates that various forms of this are found throughout the animal kingdom. As of 1999, about 500 species, ranging from primates to gut worms, have been documented engaging in same-sex behaviors. According to the organizers of the 2006 Against Nature? exhibit, it has been observed in 1,500 species.

- Title: Bisexuality
Bisexuality is romantic attraction, sexual attraction, or sexual behavior toward both males and females, or romantic or sexual attraction to people of any sex or gender identity; this latter aspect is sometimes alternatively termed ""pansexuality.""
Question: In the animal kingdom what type of sexuality is described as sexual behavior toward both male and females?
Answer: ",correct
1641,alpaca-7b,hotpot_qa,Do Singapore Sling and Fish House Punch both contain alcohol?,"Yes, both drinks contain alcohol.",yes,"Please answer the following question given the following passages:
- Title: Singapore Sling
The Singapore Sling is a gin-based cocktail from Singapore. This long drink was developed sometime before 1915 by Ngiam Tong Boon, a Hainanese bartender working at the Long Bar in Raffles Hotel, Singapore. It was initially called the gin sling – a ""sling"" was originally an North American drink composed of spirit and water, sweetened and flavored.

- Title: Fish House Punch
Fish House Punch is a strong, rum-based punch containing rum, cognac, and peach brandy. The drink is typically served over an ice block in a punch bowl and garnished with lemon slices.
Question: Do Singapore Sling and Fish House Punch both contain alcohol?
Answer: ",correct
1674,alpaca-7b,hotpot_qa,What did both Karel Bossart and Sergei Korolev design?,"They both designed rockets. Karel Bossart designed the Atlas ICBM and Sergei Korolev designed the R-7 Booster Rocket, Sputnik, and launching Laika and the first human being into space.",rocket,"Please answer the following question given the following passages:
- Title: Karel Bossart
Karel Jan Bossart (February 9, 1904 – August 3, 1975) was a pioneering rocket designer and creator of the Atlas ICBM. His achievements rank alongside those of Wernher von Braun and Sergei Korolev but as most of his work was for the United States Air Force and therefore was classified he remains relatively little known.

- Title: Sergei Korolev
Sergei Pavlovich Korolev (Russian: Серге́й Па́влович Королёв ; ] , Ukrainian: Сергі́й Па́влович Корольóв , ""Serhii Pavlovych Korolov "" ; ] ), also transliterated as Sergey Pavlovich Korolyov; 12 January [O.S. 30 December 1906] 1907 – 14 January 1966) worked as the lead Soviet rocket engineer and spacecraft designer during the Space Race between the United States and the Soviet Union in the 1950s and 1960s. He is considered by many as the father of practical astronautics. He was involved in the development of the R-7 Booster Rocket, Sputnik, and launching Laika and the first human being into space.
Question: What did both Karel Bossart and Sergei Korolev design?
Answer: ",correct
1680,alpaca-7b,hotpot_qa,what year did the band that sang Gives You Hell form?,1999.,1999,"Please answer the following question given the following passages:
- Title: Gives You Hell
""Gives You Hell"" is a song by American rock band The All-American Rejects, released as the lead single from their third studio album ""When the World Comes Down"" on September 30, 2008.

- Title: The All-American Rejects
The All-American Rejects is an American rock band formed in Stillwater, Oklahoma in 1999. The band consists of lead guitarist and backing vocalist Nick Wheeler, lead vocalist and bassist Tyson Ritter, rhythm guitarist and backing vocalist Mike Kennerty, and drummer Chris Gaylor. Nick Wheeler and Tyson Ritter are the band's songwriters; Wheeler is the primary composer and Ritter is the main lyricist.
Question: what year did the band that sang Gives You Hell form?
Answer: ",correct
